iter	RMSE
0	62.05957149
1	60.40276392
2	58.75679547
3	56.88078738
4	55.14418411
5	53.53134256
6	52.029117
7	50.81757047
8	49.30351983
9	47.99462203
10	46.77827842
11	45.61810281
12	44.40441424
13	43.28416565
14	42.28130713
15	41.36928744
16	40.35526835
17	39.39142571
18	38.50339462
19	37.6876249
20	36.87586537
21	36.16464617
22	35.34314108
23	34.60583743
24	33.95274502
25	33.34190195
26	32.77388367
27	32.30858602
28	31.75641003
29	31.24194885
30	30.78365728
31	30.2675355
32	29.86321517
33	29.47695999
34	29.07782842
35	28.71991611
36	28.34967546
37	28.01229692
38	27.70505811
39	27.40094488
40	27.09789929
41	26.75933877
42	26.42410749
43	26.10489311
44	25.85678437
45	25.5911529
46	25.28445848
47	25.04817337
48	24.79799945
49	24.60418575
50	24.44219794
51	24.31828826
52	24.13575266
53	23.96016122
54	23.80518654
55	23.64941387
56	23.46834964
57	23.29746739
58	23.18799828
59	23.0385803
60	22.86755297
61	22.73106987
62	22.59474231
63	22.44385391
64	22.29574857
65	22.14916279
66	22.03052015
67	21.92072912
68	21.81719005
69	21.71505177
70	21.61908431
71	21.49453277
72	21.38513382
73	21.2696571
74	21.15830773
75	21.05077126
76	20.98261529
77	20.84976115
78	20.71760463
79	20.64413623
80	20.55333681
81	20.46912428
82	20.38071965
83	20.28775791
84	20.24151334
85	20.17831222
86	20.11452092
87	20.07764161
88	19.98498757
89	19.90041643
90	19.83663216
91	19.7710999
92	19.72426702
93	19.66389014
94	19.5921212
95	19.5506252
96	19.47815547
97	19.41893968
98	19.36069808
99	19.31395862
100	19.27102243
101	19.23401529
102	19.20315778
103	19.15465836
104	19.10149096
105	19.05832411
106	19.02243237
107	18.97354197
108	18.92546682
109	18.89312634
110	18.83017162
111	18.75969791
112	18.72036397
113	18.66793416
114	18.64014188
115	18.59919619
116	18.54543691
117	18.51944773
118	18.48088991
119	18.44733656
120	18.37630549
121	18.34527516
122	18.31955787
123	18.28302177
124	18.23222019
125	18.18622898
126	18.12013569
127	18.09529346
128	18.06158518
129	18.0003303
130	17.9679158
131	17.92181578
132	17.88167806
133	17.84825052
134	17.81763187
135	17.79335779
136	17.77565042
137	17.74321882
138	17.7192162
139	17.68999761
140	17.65656553
141	17.63450776
142	17.60617603
143	17.58504509
144	17.56349177
145	17.52697602
146	17.48402353
147	17.45487142
148	17.36496476
149	17.32006037
150	17.2993449
151	17.27247644
152	17.22891266
153	17.19055534
154	17.14783357
155	17.13570929
156	17.08986533
157	17.06212184
