iter	RMSE
158	17.0376493
159	16.98302189
160	16.96384817
161	16.93977461
162	16.92298674
163	16.89248153
164	16.85325528
165	16.820822
166	16.79752008
167	16.75999161
168	16.71261352
169	16.66493775
170	16.64413116
171	16.60792854
172	16.58862709
173	16.57526138
174	16.54234698
175	16.50863029
176	16.5008144
177	16.4806863
178	16.47320936
179	16.44657285
180	16.42748476
181	16.38080607
182	16.34833323
183	16.3019039
184	16.27373809
185	16.24206063
186	16.20873887
187	16.20461345
188	16.19757819
189	16.17763098
190	16.1416007
191	16.12744197
192	16.08960099
193	16.06920928
194	16.04472909
195	16.02418894
196	16.0143289
197	16.00524242
198	15.93862945
199	15.87921932
200	15.85983391
201	15.81708718
202	15.79543977
203	15.78744623
204	15.77404281
205	15.75361101
206	15.73470286
207	15.72019126
208	15.70910736
209	15.68359343
210	15.67042831
211	15.63520659
212	15.62686031
213	15.60988285
214	15.60314546
215	15.59552041
216	15.58979784
217	15.57370406
218	15.54481901
219	15.52352496
220	15.4964754
221	15.48557041
222	15.44955243
223	15.43710985
224	15.42481726
225	15.40487839
226	15.39386035
227	15.33461885
228	15.30857518
229	15.27582538
230	15.25861768
231	15.21197159
232	15.20931061
233	15.19814223
234	15.16331476
235	15.14082264
236	15.11446099
237	15.07127551
238	15.06421261
239	15.04596507
240	15.01077176
241	15.00355915
242	14.97484974
243	14.97071475
244	14.96634857
245	14.94582753
246	14.92635786
247	14.89569951
248	14.88944944
249	14.87964081
250	14.8563651
251	14.851635
252	14.82978405
253	14.82738261
254	14.80724229
255	14.8010927
256	14.78602624
257	14.78333643
258	14.75884007
259	14.73730755
260	14.71421129
261	14.71060381
262	14.70592174
263	14.68270335
264	14.66523368
265	14.63593892
266	14.58417935
267	14.57935408
268	14.57588523
269	14.56254786
270	14.55648712
271	14.52505831
272	14.51000301
273	14.48242919
274	14.43896832
275	14.43200497
276	14.41251474
277	14.37789141
278	14.36566915
279	14.36032881
280	14.31080722
281	14.2974347
282	14.27500919
283	14.24793715
284	14.24544484
285	14.21561916
286	14.21110627
287	14.19366454
288	14.17212818
289	14.1438567
290	14.11459302
291	14.11078989
292	14.06890792
293	14.05029921
294	14.04692313
295	14.03199967
296	14.03068654
297	14.02450956
298	13.99516026
299	13.96307975
300	13.93592556
301	13.89536337
302	13.88360802
303	13.87218653
304	13.85154683
305	13.8449812
306	13.82895482
307	13.82067357
308	13.80620653
309	13.76326984
310	13.74848725
311	13.71865658
312	13.70398589
313	13.69190629
314	13.68192392
315	13.67826098
316	13.66170881
317	13.64771457
318	13.64336897
319	13.62365422
320	13.61645578
321	13.58849063
322	13.58026853
323	13.56851768
324	13.55931728
325	13.54223778
326	13.51586423
327	13.48875274
328	13.48596594
329	13.45196864
330	13.42324507
331	13.40890143
332	13.38199574
333	13.36332731
334	13.33513042
335	13.30593476
336	13.29181867
337	13.27135163
338	13.25529963
339	13.23378301
340	13.22156045
341	13.21740063
342	13.20133959
343	13.19814737
344	13.18791907
345	13.18659797
346	13.17711965
347	13.15639614
348	13.14895969
349	13.12662108
350	13.10143222
351	13.09911534
352	13.07752827
353	13.06197658
354	13.05936669
355	13.05067379
356	13.04197381
357	13.02706876
358	13.01899541
359	12.99313501
360	12.98750652
361	12.97593501
362	12.97098444
363	12.96657927
364	12.95633426
365	12.95248045
366	12.95032412
367	12.94177619
368	12.93075549
369	12.92313797
370	12.92044657
371	12.91296254
372	12.89092534
373	12.87677759
374	12.86234686
375	12.86141344
376	12.84313451
377	12.82979483
378	12.80779613
379	12.77196879
380	12.75400195
381	12.72211106
382	12.70074122
383	12.69578791
384	12.68792568
385	12.684267
386	12.66869544
387	12.64579459
388	12.64062292
389	12.62968152
390	12.61035846
391	12.58918423
392	12.55893718
393	12.55235864
394	12.54807379
395	12.53501745
396	12.53256299
397	12.51351253
398	12.48209498
399	12.47288646
400	12.45157257
401	12.45031
402	12.43588135
403	12.43325969
404	12.41798993
405	12.40000273
406	12.38435092
407	12.35323856
408	12.35237353
409	12.34713585
410	12.33694028
411	12.31337016
412	12.30169871
413	12.27865971
414	12.26585482
415	12.25391542
416	12.23040727
417	12.21735746
418	12.19645199
419	12.17715031
420	12.16860157
421	12.14188315
422	12.11434226
423	12.11196639
424	12.08662168
425	12.07376199
426	12.07234676
427	12.04709621
428	12.01710965
429	11.98386389
430	11.9534198
431	11.93029849
432	11.92032572
433	11.9117444
434	11.90609276
435	11.89340893
436	11.89271327
437	11.88715099
438	11.86318667
439	11.86197905
440	11.84509441
441	11.84191697
442	11.83067234
443	11.81778002
444	11.80230804
445	11.78541434
446	11.7735753
447	11.7493952
448	11.73516249
449	11.70284452
450	11.68466024
451	11.66687351
452	11.65689145
453	11.64477632
454	11.62242125
455	11.60333902
456	11.60055666
457	11.58939842
458	11.58865419
459	11.58170989
460	11.57415743
461	11.55709181
462	11.5315274
463	11.51270587
464	11.50634159
465	11.49439822
466	11.48842492
467	11.48032059
468	11.47200907
469	11.44751567
470	11.43620424
471	11.42333374
472	11.40254155
473	11.39096684
474	11.37762548
475	11.37077151
476	11.34242593
477	11.32661667
478	11.31514567
479	11.29446387
480	11.28888076
481	11.2747559
482	11.27290351
483	11.26303408
484	11.24982528
485	11.24471451
486	11.21921165
487	11.21086703
488	11.20333027
489	11.18446322
490	11.17882375
491	11.17637705
492	11.17039418
493	11.14192535
494	11.13431015
495	11.12790601
496	11.12568681
497	11.11686535
498	11.09173879
499	11.08810666
